movie_id,genre_id
1,1
1,2
1,3
2,1
2,2
2,3
3,1
3,4
3,5
4,1
4,2
4,3
5,1
5,2
5,3
6,1
6,2
6,3
7,6
7,1
7,2
8,1
8,3
9,6
9,2
9,7
10,1
10,2
10,3
11,5
12,1
12,2
12,8
13,6
13,9
13,8
14,6
14,2
14,7
15,1
15,3
16,6
16,2
16,7
17,6
17,2
17,7
18,1
18,10
19,7
19,11
20,1
20,2
20,3
21,1
21,3
21,10
22,1
22,2
22,3
23,1
23,2
23,3
24,1
24,2
24,3
25,1
25,2
25,3
26,1
26,12
26,5
27,1
27,2
27,7
28,1
28,2
28,7
29,1
29,4
29,10
30,6
30,2
30,7
31,1
31,13
31,10
32,6
32,2
32,7
33,6
33,1
33,2
34,1
34,8
35,6
35,2
35,5
36,2
36,9
36,8
37,14
37,13
37,10
38,12
38,5
38,11
39,1
39,4
39,5
40,1
40,2
40,3
41,6
41,2
41,7
42,6
42,2
42,7
43,1
43,2
43,3
44,1
44,2
44,3
45,2
45,5
45,15
46,12
46,5
46,16
47,2
47,9
47,8
48,1
48,2
48,3
49,6
49,2
49,7
50,2
50,5
50,8
51,1
51,2
51,3
52,6
52,1
52,2
53,2
53,5
53,8
54,2
54,9
54,8
55,1
55,2
55,7
56,1
56,2
56,8
57,1
57,2
57,10
58,2
58,5
58,8
59,7
60,1
60,2
60,8
61,1
61,2
61,8
62,13
62,10
63,1
63,2
63,8
64,5
64,17
65,2
65,7
65,9
66,2
66,9
66,8
67,2
67,7
67,9
68,7
69,5
69,14
69,3
70,2
70,7
70,9
71,1
71,2
71,10
72,6
72,1
72,2
73,7
73,17
74,6
74,2
74,7
75,6
75,2
75,7
76,6
76,1
76,2
77,6
77,1
77,2
78,2
78,9
78,8
79,1
79,2
79,5
80,5
80,15
81,6
81,2
81,7
82,1
82,2
82,17
83,4
83,5
83,10
84,1
84,2
84,3
85,1
85,2
85,3
86,18
86,19
87,5
87,13
87,3
88,1
88,2
88,8
89,2
89,9
89,8
90,1
90,10
91,6
91,1
91,2
92,14
92,13
93,6
93,2
93,7
94,1
94,2
94,10
95,1
95,5
96,2
96,9
96,8
97,1
97,2
97,5
98,5
98,17
99,1
99,2
99,13
100,1
100,2
100,5
101,14
101,13
101,10
102,2
102,7
102,9
103,6
103,2
103,7
104,1
104,2
104,9
105,7
105,17
106,6
106,2
106,7
107,1
107,2
107,13
108,5
108,16
108,10
109,1
109,2
109,5
110,6
110,1
110,2
111,1
111,7
111,4
112,6
112,2
112,7
113,6
113,2
113,7
114,7
114,17
115,6
115,2
115,7
116,12
116,4
116,5
117,1
117,2
118,6
118,2
118,7
119,1
119,7
119,4
120,2
120,5
120,17
121,1
121,2
121,7
122,1
122,4
122,10
123,7
123,17
124,1
124,7
124,4
125,1
125,2
125,7
126,2
126,7
126,9
127,6
127,7
127,9
128,6
128,2
128,7
129,7
129,5
129,17
130,7
130,9
131,1
131,2
131,7
132,1
132,2
132,8
133,1
133,14
133,3
134,1
134,3
134,10
135,6
135,2
135,7
136,1
136,2
136,9
137,6
137,2
137,7
138,2
138,7
138,9
139,7
139,20
140,1
140,7
140,3
141,7
142,1
142,2
142,8
143,1
143,2
143,3
144,5
144,15
145,2
145,8
146,7
146,5
147,7
148,2
148,9
148,8
149,1
149,10
150,6
150,1
150,2
151,1
151,4
151,10
152,14
152,13
152,10
153,5
153,13
153,17
154,2
154,5
154,3
155,6
155,2
155,7
156,6
156,1
156,2
157,6
157,2
157,7
158,1
158,7
159,2
159,5
159,9
160,7
160,17
161,7
161,17
162,14
162,3
162,10
163,1
163,7
163,8
164,1
164,2
164,8
165,1
165,5
165,3
166,7
166,4
167,1
167,5
167,3
168,6
168,2
168,7
169,7
169,5
169,11
170,12
170,5
170,16
171,1
171,14
171,3
172,1
172,2
172,13
173,6
173,2
173,7
174,7
174,5
174,11
175,7
175,5
175,17
176,7
177,6
177,1
177,2
178,1
178,2
178,7
179,1
179,2
179,3
180,1
180,2
180,8
181,1
181,2
181,3
182,14
182,13
182,10
183,5
183,8
183,17
184,1
184,5
184,8
185,6
185,1
185,2
186,2
186,5
186,3
187,5
187,16
187,10
188,7
188,4
189,6
189,2
189,7
190,1
190,7
190,3
191,1
191,2
191,8
192,1
192,7
193,1
193,2
193,3
194,1
194,2
194,8
195,6
195,2
195,7
196,1
196,2
196,14
197,7
197,17
198,1
198,5
198,3
199,6
199,2
199,7
200,1
200,7
200,4
201,1
201,14
201,3
202,7
202,17
202,3
203,7
203,4
203,5
204,1
204,2
204,3
205,1
205,7
205,4
206,2
206,7
206,9
207,1
207,5
207,16
208,1
208,5
208,16
209,1
209,2
209,10
210,14
210,13
210,10
211,1
211,3
212,7
213,7
213,5
214,7
214,5
214,17
215,5
215,14
215,3
216,6
216,2
216,7
217,6
217,2
217,7
218,7
218,4
218,5
219,5
220,1
220,2
220,3
221,4
221,5
221,10
222,1
222,4
222,13
223,12
223,5
223,17
224,2
224,3
224,10
225,6
225,2
225,7
226,1
226,2
226,3
227,1
227,2
227,3
228,12
228,7
228,5
229,1
229,7
229,5
230,1
230,2
230,3
231,1
231,2
231,3
232,1
232,5
232,3
233,6
233,2
233,7
234,2
234,7
234,9
235,7
235,8
236,12
236,5
236,16
237,6
237,1
237,2
238,7
238,8
238,17
239,6
239,1
239,2
240,7
241,7
241,5
241,17
242,6
242,1
242,2
243,1
243,4
243,10
244,2
244,7
244,5
245,2
245,7
245,5
246,12
246,5
246,16
247,6
247,2
247,7
248,12
248,5
248,21
249,1
249,2
249,7
250,6
250,1
250,2
251,1
251,10
252,1
252,5
252,13
253,7
253,22
253,17
254,5
254,10
255,1
255,4
255,5
256,1
256,3
257,7
257,8
258,6
258,2
258,7
259,1
259,2
259,3
260,14
260,13
260,10
261,1
261,2
261,5
262,7
262,5
262,17
263,1
263,5
263,20
264,2
264,5
264,3
265,1
265,2
265,10
266,12
266,5
266,13
267,12
267,5
268,6
268,2
268,7
269,1
269,4
269,3
270,18
270,11
271,1
271,7
271,4
272,7
272,17
273,7
274,1
274,4
274,5
275,1
275,3
276,7
276,8
276,14
277,4
277,5
277,13
278,1
278,4
278,13
279,7
279,5
279,17
280,1
280,4
281,7
281,4
281,5
282,6
282,1
282,2
283,1
283,2
283,8
284,1
284,5
284,20
285,1
285,2
285,5
286,1
286,7
286,4
287,2
287,9
287,8
288,7
288,5
288,11
289,1
289,4
289,5
290,7
290,5
290,17
291,1
291,2
291,3
292,2
292,5
292,21
293,1
293,13
293,10
294,7
294,9
295,7
295,5
295,8
296,1
296,7
296,4
297,1
297,4
297,10
298,1
298,7
298,4
